Distance       GT             LRR-CED(D)     LRR-CED(U)     FBP-ConvNet    
200            0.00321072     0.00311563     0.00325111     0.00351351     
201            0.00323184     0.00311527     0.00315758     0.00341189     
202            0.0036648      0.00333751     0.0029183      0.00337583     
203            0.00697008     0.00687596     0.00442699     0.00599492     
204            0.01091952     0.01083304     0.00918257     0.01078513     
205            0.0113208      0.01145037     0.01096468     0.0116463      
206            0.00818448     0.00971749     0.0088877      0.00880376     
207            0.00425616     0.00502603     0.00440012     0.00434467     
208            0.00291504     0.00284435     0.00288328     0.00287464     
209            0.0028728      0.00288995     0.00315814     0.00301668     
210            0.00275664     0.00284384     0.00300182     0.00301757     
211            0.00296784     0.00298761     0.00302393     0.00308052     
212            0.00325296     0.00297087     0.00292518     0.00315693     
213            0.00316848     0.00290257     0.00302713     0.00354114     
214            0.0031896      0.00320684     0.00396078     0.00398237     
215            0.00321072     0.00351132     0.00417899     0.00405461     
216            0.00310512     0.00339012     0.00518617     0.0039089      
217            0.00304176     0.00321367     0.00341229     0.00382406     
218            0.00298896     0.00291665     0.00315883     0.00347647     
219            0.003084       0.00285161     0.00313806     0.00339136     
220            0.00316848     0.00301927     0.00342635     0.00340754     
221            0.00309456     0.00289322     0.00337886     0.00324236     
222            0.0030312      0.00289159     0.00337148     0.00321531     
223            0.00296784     0.00301019     0.00321533     0.00328176     
224            0.00284112     0.00298757     0.00333379     0.00335121     
225            0.00285168     0.00309081     0.00320135     0.00362334     
226            0.00284112     0.00299087     0.0033077      0.00371531     
227            0.0029256      0.00288427     0.00321282     0.00350434     
228            0.0028728      0.00309998     0.00386051     0.00348967     
229            0.00289392     0.00294873     0.00344423     0.00371957     
230            0.0029784      0.00300678     0.00339108     0.00353912     
231            0.00295728     0.00301877     0.00330666     0.00337717     
232            0.00282        0.00292581     0.00338909     0.00342405     
233            0.00277776     0.00297685     0.00323717     0.00334582     
234            0.00306288     0.00280387     0.00333417     0.00333014     
235            0.00315792     0.00281491     0.00333717     0.00391567     
236            0.00316848     0.00294534     0.00488742     0.00405824     
237            0.0029256      0.00282079     0.0036228      0.00385579     
238            0.00290448     0.0029097      0.00343659     0.00357887     
239            0.00320016     0.00304567     0.00319623     0.00334033     
240            0.00299952     0.00291886     0.0033322      0.00322652     
241            0.00283056     0.00304358     0.00325528     0.00315523     
242            0.00265104     0.00298941     0.00341481     0.00317529     
243            0.00275664     0.00291166     0.00333533     0.00321606     
244            0.00293616     0.00312191     0.00345717     0.00337297     
245            0.0037176      0.00357388     0.00426361     0.00382827     
246            0.00591408     0.00481419     0.00637825     0.00575048     
247            0.00706512     0.0069313      0.00876472     0.00805566     
248            0.0067272      0.00970241     0.01003682     0.00933409     
249            0.00747696     0.0116744      0.01140412     0.01039153     
250            0.00937776     0.0116854      0.01203467     0.01137131     
251            0.01135248     0.01205826     0.01254866     0.0120948      
252            0.01240848     0.01260367     0.01316607     0.01256865     
253            0.01240848     0.01243966     0.0134312      0.01273096     
254            0.01254576     0.01271113     0.01303219     0.01224127     
255            0.01254576     0.01268437     0.01325394     0.01258397     
256            0.01261968     0.0126925      0.01289257     0.01264745     
257            0.01265136     0.01275206     0.01281729     0.01232418     
258            0.01261968     0.01273249     0.01291897     0.0127635      
259            0.012852       0.01278092     0.01302679     0.01272345     
260            0.01276752     0.01312496     0.01301692     0.01232553     
261            0.01272528     0.01269325     0.01275525     0.01252925     
262            0.01282032     0.012743       0.01243888     0.01256269     
263            0.012852       0.01276218     0.01269013     0.01245153     
264            0.01273584     0.01253856     0.01255328     0.01248091     
265            0.01265136     0.01257037     0.01265678     0.01254004     
266            0.01272528     0.01235951     0.01275146     0.01244414     
267            0.012852       0.01232184     0.01292863     0.01285368     
268            0.0127992      0.01261719     0.01256713     0.01252452     
269            0.01280976     0.01218374     0.01239477     0.01225683     
270            0.01257744     0.01231331     0.01276457     0.01259625     
271            0.0127464      0.01233738     0.01288444     0.01241884     
272            0.01315824     0.01252098     0.01270404     0.01233858     
273            0.01297872     0.01263624     0.01265157     0.01248059     
274            0.01289424     0.01256725     0.01260602     0.01253757     
275            0.01307376     0.01255137     0.01278271     0.01244095     
276            0.01297872     0.01286327     0.01263936     0.0125989      
277            0.01288368     0.01272038     0.01270736     0.01254022     
278            0.01280976     0.01260611     0.01268145     0.01250684     
279            0.01276752     0.01268923     0.01278958     0.01268926     
280            0.0129576      0.01273192     0.01294334     0.01265764     
281            0.01289424     0.0124348      0.01283796     0.01256111     
282            0.01282032     0.01231465     0.01270182     0.01260209     
283            0.01287312     0.01223582     0.01277178     0.01250115     
284            0.01276752     0.01245742     0.01268935     0.01252389     
285            0.01266192     0.01215828     0.01273833     0.01257777     
286            0.01277808     0.01216758     0.01265605     0.01259053     
287            0.01294704     0.01198225     0.01274865     0.0126766      
288            0.01299984     0.01218855     0.01258679     0.0127109      
289            0.01280976     0.01203336     0.0122988      0.01243627     
290            0.01210224     0.01162289     0.01192029     0.01208603     
291            0.01119408     0.01079241     0.01101862     0.01119992     
292            0.00921936     0.00911389     0.00949774     0.00926691     
293            0.00663216     0.00639796     0.00747663     0.00703773     
294            0.0042984      0.0050421      0.00566562     0.00523967     
295            0.00375984     0.00449801     0.00443597     0.00396937     
296            0.00372816     0.00422411     0.00425605     0.00384328     
297            0.00339024     0.00414844     0.00442024     0.00405911     
298            0.00343248     0.00389173     0.00433328     0.0041264      
299            0.00363312     0.00408355     0.00455274     0.00428718     
