Distance       PWLS-TV        GT             LRR-CED(D)     LRR-CED(U)     FBP-ConvNet    
200            0.114          0.069          0.078          0.056          0.094          
201            0.151          0.069          0.086          0.047          0.091          
202            0.157          0.087          0.109          0.033          0.079          
203            0.238          0.219          0.204          0.062          0.181          
204            0.313          0.377          0.33           0.278          0.405          
205            0.318          0.393          0.384          0.321          0.432          
206            0.264          0.268          0.358          0.227          0.305          
207            0.172          0.11           0.215          0.046          0.117          
208            0.16           0.057          0.095          0.038          0.07           
209            0.148          0.055          0.069          0.041          0.081          
210            0.083          0.05           0.072          0.036          0.083          
211            0.079          0.059          0.065          0.036          0.085          
212            0.068          0.07           0.062          0.037          0.085          
213            0.069          0.067          0.063          0.041          0.09           
214            0.074          0.068          0.072          0.053          0.099          
215            0.082          0.069          0.102          0.064          0.103          
216            0.081          0.064          0.162          0.059          0.104          
217            0.085          0.062          0.124          0.048          0.101          
218            0.067          0.06           0.091          0.049          0.096          
219            0.067          0.063          0.075          0.044          0.096          
220            0.067          0.067          0.068          0.048          0.095          
221            0.068          0.064          0.068          0.046          0.089          
222            0.072          0.061          0.073          0.045          0.087          
223            0.065          0.059          0.085          0.05           0.083          
224            0.073          0.054          0.117          0.059          0.086          
225            0.051          0.054          0.113          0.061          0.097          
226            0.05           0.054          0.09           0.055          0.103          
227            0.073          0.057          0.073          0.055          0.095          
228            0.041          0.055          0.064          0.073          0.1            
229            0.024          0.056          0.063          0.063          0.107          
230            0.051          0.059          0.062          0.046          0.094          
231            0.045          0.058          0.071          0.043          0.092          
232            0.051          0.053          0.086          0.05           0.094          
233            0.074          0.051          0.077          0.05           0.088          
234            0.027          0.063          0.058          0.06           0.093          
235            0.024          0.066          0.057          0.056          0.109          
236            0.025          0.067          0.062          0.067          0.119          
237            0.009          0.057          0.066          0.061          0.109          
238            0.024          0.056          0.063          0.045          0.093          
239            0.018          0.068          0.068          0.044          0.081          
240            0.016          0.06           0.085          0.052          0.08           
241            0.017          0.053          0.085          0.058          0.076          
242            0.019          0.046          0.072          0.056          0.075          
243            0.044          0.05           0.068          0.058          0.079          
244            0.089          0.058          0.078          0.063          0.078          
245            0.14           0.089          0.116          0.096          0.085          
246            0.173          0.177          0.181          0.16           0.154          
247            0.224          0.223          0.3            0.222          0.275          
248            0.239          0.209          0.389          0.261          0.298          
249            0.286          0.239          0.417          0.324          0.366          
250            0.344          0.316          0.443          0.384          0.434          
251            0.392          0.395          0.454          0.392          0.458          
252            0.408          0.437          0.466          0.402          0.472          
253            0.433          0.437          0.479          0.397          0.482          
254            0.462          0.443          0.515          0.4            0.482          
255            0.464          0.443          0.509          0.385          0.475          
256            0.462          0.446          0.503          0.389          0.486          
257            0.463          0.447          0.491          0.385          0.463          
258            0.463          0.446          0.489          0.395          0.477          
259            0.463          0.455          0.485          0.399          0.475          
260            0.452          0.451          0.467          0.391          0.469          
261            0.448          0.45           0.455          0.397          0.468          
262            0.447          0.454          0.465          0.391          0.468          
263            0.445          0.455          0.462          0.393          0.468          
264            0.442          0.45           0.461          0.403          0.474          
265            0.442          0.447          0.46           0.415          0.471          
266            0.44           0.45           0.465          0.411          0.472          
267            0.439          0.455          0.464          0.417          0.475          
268            0.449          0.453          0.453          0.407          0.47           
269            0.455          0.453          0.443          0.405          0.469          
270            0.457          0.444          0.456          0.406          0.469          
271            0.456          0.451          0.455          0.41           0.472          
272            0.456          0.467          0.459          0.406          0.475          
273            0.466          0.46           0.459          0.41           0.479          
274            0.465          0.457          0.464          0.408          0.481          
275            0.465          0.464          0.47           0.412          0.482          
276            0.467          0.46           0.462          0.415          0.484          
277            0.475          0.456          0.452          0.418          0.48           
278            0.47           0.453          0.463          0.413          0.48           
279            0.465          0.451          0.458          0.414          0.479          
280            0.465          0.459          0.457          0.406          0.481          
281            0.466          0.457          0.456          0.413          0.477          
282            0.466          0.454          0.458          0.408          0.479          
283            0.461          0.456          0.457          0.41           0.479          
284            0.457          0.451          0.452          0.405          0.482          
285            0.455          0.447          0.445          0.409          0.489          
286            0.455          0.452          0.451          0.414          0.486          
287            0.392          0.459          0.442          0.409          0.492          
288            0.376          0.461          0.444          0.408          0.489          
289            0.409          0.453          0.434          0.401          0.486          
290            0.391          0.425          0.426          0.383          0.477          
291            0.324          0.388          0.401          0.35           0.446          
292            0.302          0.309          0.334          0.269          0.372          
293            0.178          0.206          0.222          0.178          0.243          
294            0.163          0.112          0.154          0.114          0.149          
295            0.12           0.091          0.13           0.084          0.103          
296            0.095          0.089          0.13           0.083          0.099          
297            0.131          0.076          0.15           0.081          0.118          
298            0.076          0.077          0.152          0.085          0.13           
299            0.074          0.085          0.166          0.083          0.131          
